"case_number","date","year","month","time","date_time","crime_code","crime","block","street","type","beat","command","weapon","motivation","number_of_suspects","suspect","victim_count","victim_other","injury","suspect_race_0","suspect_race_1","suspect_race_2","suspect_sex_0","suspect_sex_1","suspect_sex_2","victim_race_0","victim_race_1","victim_race_2","victim_race_3","victim_sex_0","victim_sex_1","victim_sex_2","victim_sex_3"
"21017124","2021-04-11","2021","4","23:03:00","2021-04-11","245(A)(1)","Assault","1500.0","California","St","527","Central","Baseball Bat","Sexual Orientation","1","Unknown","2.0","","Treated","B","","","M","","","F","","","","F","","",""
"21021221","2021-05-06","2021","5","08:26:00","2021-05-06","245(A)(1)","Assault","","17th/K","St","521","Central","Hammer","Sexual Orientation","1","Known","1.0","","Hospital","B","","","M","","","H","","","","M","","",""
"21022243","2021-05-08","2021","5","14:15:00","2021-05-08","653(M)","Threat","11000.0","Caminito Inocenta","","931","Northwestern","Phone","Religion","1","Known","1.0","","None","W","","","F","","","O","","","","F","","",""
"21023215","2021-05-17","2021","5","14:10:00","2021-05-17","243(A)","Battery","700.0","30th","St","517","Central","Spit","Race","1","Unknown","1.0","","Treated","W","","","M","","","H","","","","F","","",""
"21023506","2021-05-19","2021","5","17:19:00","2021-05-19","653(M)","Threat","4800.0","Newport","Av","611","Western","Phone","Religion","1","Unknown","2.0","Business","None","Unk","","","Unk","","","W","","","","M","","",""
"21023843","2021-05-21","2021","5","16:16:00","2021-05-21","240","Assault","900.0","F","St","311","Eastern","Spit","Sexual Orientation","1","Known","1.0","","None","W","","","M","","","W","","","","F","","",""
"21024515","2021-05-23","2021","5","10:13:00","2021-05-23","594(B)(2)(A)","Vandalism","3200.0","Bayside","Wk","121","Northern","Chalk","Race/Religion","Unk","Unknown","1.0","","None","Unk","","","Unk","","","M","","","","F","","",""
"21024446","2021-05-24","2021","5","18:59:00","2021-05-24","594(B)(1)","Vandalism","3800.0","Valley Centre","Dr","934","Northwestern","Unknown","Religion","Unk","Unknown","1.0","","None","Unk","","","Unk","","","W","","","","M","","",""
"21025374","2021-05-30","2021","5","21:39:00","2021-05-30","417(A)(1)","Threat","","Westview/Capricorn","Pky/Way","242","Northeastern","Pipe","Race","1","Known","1.0","","None","W","","","M","","","B","","","","M","","",""
"21025529","2021-05-31","2021","5","07:55:00","2021-05-31","417(A)(1)","Threat","2400.0","Market","St","514","Central","Knife","Race","1","Known","1.0","","None","B","","","M","","","W","","","","F","","",""
"21026113","2021-06-03","2021","6","12:30:00","2021-06-03","243(D)","Battery","700.0","32nd","St","516","Central","Hands, Fists, Feet","Race","1","Known","1.0","","Injured","B","","","M","","","O","","","","M","","",""
"21029244","2021-06-16","2021","6","12:00:00","2021-06-16","653M(A)","Threat","4900.0","Murphy Canyon","Rd","311","Eastern","None","Race","Unk","Unknown","1.0","Political Organization","None","Unk","","","Unk","","","","","","","","","",""
"21030261","2021-06-28","2021","6","11:38:00","2021-06-28","243(A)","Battery","","8th/F","Av/St","524","Central","Hands, Fists, Feet","Race","1","Known","1.0","","None","B","","","M","","","W","","","","F","","",""
"21032267","2021-07-10","2021","7","12:10:00","2021-07-10","242","Battery","4200.0","Nobel","Dr","115","Northern","Hands, Fists, Feet","Sexual Orientation","2","Unknown","1.0","","Treated","H","","","M","","","H","","","","M","","",""
"21035205","2021-07-27","2021","7","05:00:00","2021-07-27","422.6(A)","Threat","500.0","C","St","524","Central","Hands, Fists, Feet","Race","1","Known","1.0","","None","H","","","M","","","B","","","","F","","",""
"21036358","2021-08-02","2021","8","23:38:00","2021-08-02","245(A)(1)","Assault","3100.0","Mission","Bl","121","Western","Can","Sexual Orientation","4","Unknown","2.0","","Treated","H","H","B","M","M","M","W","B","","","F","M","",""
"21614797","2021-09-02","2021","9","00:00:00","2021-09-02","594","Vandalism","5900.0","Linda Vista","Rd","622","Western","Unknown","Religion","Unk","Unknown","1.0","","None","Unk","","","Unk","","","W","","","","M","","",""
"21042757","2021-09-09","2021","9","14:54:00","2021-09-09","368(B)(1)","Assault","4000.0","Taylor","St","625","Western","Hands, Fists, Feet","Race","1","Known","1.0","","None","W","","","M","","","O","","","","M","","",""
"21043319","2021-09-12","2021","9","21:36:00","2021-09-12","243(D)","Battery","1300.0","Cesar Chavez","Pkw","511","Central","Hands, Fists, Feet","Sexual Orientation","2","Unknown","1.0","","Hospital","W","W","","M","M","","O","","","","M","","",""
"21043645","2021-09-14","2021","9","23:10:00","2021-09-14","422.7(A)","Assault","","Voltaire","St","613","Western","Hands, Fists, Feet","Race","1","Unknown","1.0","","None","W","","","M","","","H","","","","M","","",""
"21044849","2021-09-21","2021","9","13:40:00","2021-09-21","242","Battery","3800.0","Richmond","St","627","Western","Hands, Fists, Feet","Race","1","Known","1.0","","None","B","","","F","","","A","","","","F","","",""
"21047024","2021-10-01","2021","10","00:00:00","2021-10-01","594","Vandalism","1300.0","29th","St","518","Central","Spray Paint","Race","Unk","Unknown","1.0","","None","Unk","","","Unk","","","H","","","","F","","",""
"21046858","2021-10-02","2021","10","19:45:00","2021-10-02","242","Battery","3400.0","Castle Glen","Dr","311","Eastern","Hands, Fists, Feet","Sexual Orientation","1","Known","1.0","","Treated","W","","","M","","","W","","","","M","","",""
"21047512","2021-10-03","2021","10","13:30:00","2021-10-03","594(B)(2)(A)","Vandalism","9500.0","La Jolla Farms","Rd","126","Northern","Unknown","Race","Unk","Unknown","1.0","","None","Unk","","","Unk","","","H","","","","M","","",""
"21048517","2021-10-12","2021","10","13:10:00","2021-10-12","242","Battery","900.0","Camino De La Reina","","315","Eastern","Spit","Sexual Orientation","1","Unknown","1.0","","None","B","","","M","","","H","","","","M","","",""
"21049305","2021-10-17","2021","10","08:00:00","2021-10-17","245(A)(1)","Assault","4000.0","36th","St","838","MidCity","Cane","Sexual Orientation","1","Known","1.0","","None","W","","","M","","","B","","","","F","","",""
"21053854","2021-11-14","2021","11","10:23:00","2021-11-14","243(A)","Battery","4800.0","Del Monte","Av","614","Western","Hands, Fists, Feet","Race","1","Known","1.0","","Minor","W","","","M","","","B","","","","F","","",""
"21054343","2021-11-16","2021","11","00:15:00","2021-11-16","422(A)","Threat","6000.0","La Jolla","Bl","124","Northern","Note","Anti-Religion","Unknown","Unknown","1.0","Church","None","Unk","","","Unk","","","","","","","","","",""
"21056974","2021-12-03","2021","12","21:48:00","2021-12-03","242","Battery","5000.0","Newport","Av","614","Western","Hands, Fists, Feet","Race","1","Known","1.0","","Treated ","W","","","M","","","B","","","","F","","",""
"21059048","2021-12-17","2021","12","09:15:00","2021-12-17","245","Assault","5100.0","Clairemont Mesa","Av","114","Northern","Handgun","Race","1","Unknown","1.0","","None","W","","","F","","","B","","","","M","","",""
"22000602","2021-12-30","2021","12","00:00:00","2021-12-30","422.6","Threat","5600.0","Balboa","Av","111","Northern","Sign","Religion","1","Unknown","1.0","Jewelry Store","None","Unk","","","Unk","","","","","","","","","",""
"22004082","2022-01-29","2022","1","11:45:00","2022-01-29","242","Battery","4400.0","La Jolla Village","Dr","115","Northern","Hands, Fists, Feet","Race","1","Unknown","1.0","","None","W","","","M","","","B","","","","M","","",""
"22006320","2022-02-12","2022","2","13:00:00","2022-02-12","243","Battery","4400.0","Bannock","Av","114","Northern","Hands, Fists, Feet","Race","1","Known","1.0","","None","W","","","F","","","B","","","","F","","",""
"22010180","2022-03-08","2022","3","13:25:00","2022-03-08","664/187","Attempted Murder","5300.0","Lea","St","827","Mid-City","Knife","Religion","1","Known","1.0","","Hospital","H","","","M","","","H","","","","M","","",""
"22010580","2022-03-10","2022","3","19:30:00","2022-03-10","422.6 (A)","Threat","3800.0","Pell","Pl","934","Northwestern","Letters","Race","Unk","Unknown","2.0","","None","Unk","","","Unk","","","A","A","","","M","F","",""
"22603800","2022-03-16","2022","3","12:00:00","2022-03-16","422.6(A)","Threat","7400.0","Rondel ","Ct","325","Eastern","None","Race","1","Known","1.0","","None","W","","","M","","","B","","","","M","","",""
"22011462","2022-03-16","2022","3","11:15:38","2022-03-16","422.6 (A)","Threat","700.0","16th","St","521","Central","Hands, Fists, Feet","Race","1","Unknown","1.0","","None","B","","","M","","","A","","","","M","","",""
"22012649","2022-03-23","2022","3","13:40:00","2022-03-23","242/422.6(A)","Battery","10500.0","Scripps Poway","Pky","246","Northeastern","Hands, Fists, Feet","Race","1","Known","2.0","","Minor","H","","","M","","","H","H","","","F","F","",""
"22013542","2022-03-28","2022","3","09:55:00","2022-03-28","422.6(A)/242","Battery","1600.0","University","Ave","627","Western","Hands, Fists, Feet","Race","1","Unknown","1.0","","None","B","","","M","","","M","","","","M","","",""
"22016894","2022-04-17","2022","4","21:40:00","2022-04-17","245","Assault","4100.0","West Point Loma","Blvd","613","Western","Other Dangerous Object","Race/Sex","1","Unknown","1.0","","Minor","W","","","M","","","B","","","","X","","",""
"22018396","2022-04-17","2022","4","08:00:00","2022-04-17","594.3 (A)","Vandalism","2600.0","Denver","St","116","Northern","None","Rel/Sex","Unk","Unknown","1.0","Chuch","None","Unk","","","Unk","","","","","","","","","",""
"22019678","2022-04-30","2022","4","20:30:58","2022-04-30","245/211 PC","Assault","4200.0","36th ","St","838","Mid-City","Knife","Sex","2","Unknown","1.0","","Minor","B","B","","M","M","","H","","","","M","","",""
"22019637","2022-05-05","2022","5","15:15:26","2022-05-05","273(A) PC","Threat","10600.0","Tierrasanta","Blvd","312","Eastern","Hands, Fists, Feet","Sex","1","Known","4.0","","None","W","","","F","","","W","W","W","H","M","M","M","M"
